Companies;Company Sectors;Company Headquarters;Countries;Regions;Response Sectors;Backdate;Title;Responded To;Tags;Responded;Authors;URL;Link to Company Page;Story;Response
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;;;;19.08.2015;Resposta da Vale ao Relatório de Insustentabilidade 2015;"Brasil: Atingidos pela Vale lançam relatório com alegações de abusos de direitos humanos cometidos pela mineradora; a empresa comenta";;Yes;Vale;https://www.business-humanrights.org/en/latest-news/resposta-da-vale-ao-relatório-de-insustentabilidade-2015/;https://www.business-humanrights.org/en/companies/vale/;;
Nestlé;Food & beverage;CH;TH|US;;Food & beverage;01.09.2015;Nestlé response;Nestlé lawsuit (re forced labour in Thai fishing industry);Forced Labour & Modern Slavery|Labour Rights|Lawsuits & regulatory action|Supply Chains;Yes;Nestle;https://www.business-humanrights.org/en/latest-news/nestlé-response-3/;https://www.business-humanrights.org/en/companies/nestlé/;;
Coca-Cola;Food & beverage;US;LK;;;02.09.2015;Coca-Cola statement regarding oil leak into Kelani River, Sri Lanka;Sri Lanka: Oil leak at Coca-Cola factory;Access to Water|Clean, Healthy & Sustainable Environment;Yes;Coca-Cola;https://www.business-humanrights.org/en/latest-news/coca-cola-statement-regarding-oil-leak-into-kelani-river-sri-lanka/;https://www.business-humanrights.org/en/companies/coca-cola/;;
Nestlé;Food & beverage;CH;CI;;;08.09.2015;Nestlé's response;"Cote d'Ivoire: Fair Labor Association report finds child labour in Nestlé's cocoa supply chain; includes company comments";Child labour|Supply Chains;Yes;Nestlé;https://www.business-humanrights.org/en/latest-news/nestlés-response/;https://www.business-humanrights.org/en/companies/nestlé/;;
ExxonMobil;Oil, gas & coal;US;US;;Oil, gas & coal;02.10.2015;ExxonMobil response;Investigation raises concerns about ExxonMobil blocking climate action despite knowledge about environmental & social impacts of climate change;Climate Crisis;Yes;ExxonMobil;https://www.business-humanrights.org/en/latest-news/exxonmobil-response-2/;https://www.business-humanrights.org/en/companies/exxonmobil/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;KH;;;05.10.2015;H&M response;"Cambodia: H&M suppliers linked to illegal use of short-term fixed-duration contracts; H&M responds";Labour Rights;Yes;H&M;https://www.business-humanrights.org/en/latest-news/hm-response-3/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
Coca-Cola;Food & beverage;US;LK;;Waste disposal;07.10.2015;Coca-Cola Beverages Sri Lanka Statement;Sri Lanka: Oil leak at Coca-Cola factory;Access to Water|Clean, Healthy & Sustainable Environment;Yes;Coca Cola;https://www.business-humanrights.org/en/latest-news/coca-cola-beverages-sri-lanka-statement/;https://www.business-humanrights.org/en/companies/coca-cola/;;
China National Petroleum Corporation (CNPC);Oil, gas & coal;CN;NE;;Oil, gas & coal;12.07.2015;La CNPC n'a pas répondu;Niger: NGO report details harms to health, livelihoods & other human rights of mining, oil & gas operations;Access to Water|Clean, Healthy & Sustainable Environment|Economic, Social, and Cultural Rights|Personal Health;No;;https://www.business-humanrights.org/en/latest-news/la-cnpc-na-pas-répondu/;https://www.business-humanrights.org/en/companies/china-national-petroleum-corporation-cnpc/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;BD;;Clothing & textile;14.10.2015;H&M response;Bangladesh: H&M accused of failing to honour its commitments to make fire & building safety repairs;Personal Health;Yes;H&M;https://www.business-humanrights.org/en/latest-news/hm-response-4/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;ZM;;;20.10.2015;Response re ActionAid report on impacts on women in Zambia;"Zambia: Glencore copper mine impacts local community due to pollution; including past company responses";Economic, Social, and Cultural Rights|Personal Health|Women;Yes;Michael Fahrbach, Global Head of Sustainability, Glencore;https://www.business-humanrights.org/en/latest-news/response-re-actionaid-report-on-impacts-on-women-in-zambia/;https://www.business-humanrights.org/en/companies/glencore/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;ID;;;16.11.2015;adidas response;Indonesia: Union alleges freedom of association & wage concerns in Panarub factory, linked to adidas & Mizuno, includes responses & rejoinders;Freedom of Association|Labour Rights|Living Wage;Yes;adidas;https://www.business-humanrights.org/en/latest-news/adidas-response-2/;https://www.business-humanrights.org/en/companies/adidas/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;ID;;;16.11.2015;Antwort adidas;Indonesien: Gewerkschaft erhebt Vorwürfe wegen Einschränkung der Vereinigungsfreiheit & Lohnstreitigkeiten in Panarub-Fabrik in Verbindung mit Adidas & Mizuno;Freedom of Association;Yes;Adidas;https://www.business-humanrights.org/en/latest-news/antwort-adidas/;https://www.business-humanrights.org/en/companies/adidas/;;
PepsiCo;Food & beverage;US;ID;;;23.11.2015;PepsiCo response;"Indonesia: PepsiCo’s new palm oil commitment criticised for exempting partner Indofood from heightened social & environmental standards; PepsiCo responds";Clean, Healthy & Sustainable Environment;Yes;PepsiCo;https://www.business-humanrights.org/en/latest-news/pepsico-response-4/;https://www.business-humanrights.org/en/companies/pepsico/;;
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;BR;;Mining|Oil, gas & coal;27.11.2015;Resposta da Vale a relatório da FIDH;"FIDH Briefing Paper on business & human rights ""Enhancing Standards and Ensuring Redress"" (2014)";Access to Information|Adequate Living Standards|Child labour|Clean, Healthy & Sustainable Environment|Housing|Labour Rights|Lawsuits & regulatory action|Personal Health;Yes;Vale;https://www.business-humanrights.org/en/latest-news/resposta-da-vale-a-relatório-da-fidh/;https://www.business-humanrights.org/en/companies/vale/;;
Rio Tinto;Mining;GB;AU|CA|MG|NA;;Mining;14.12.2015;Rio Tinto response;Union investor briefing alleges Rio Tinto's use of precarious work discourages workers from advocating for trade union rights & puts their safety at risk;Deaths|Economic, Social, and Cultural Rights|Freedom of Association|Labour Rights|Personal Health;Yes;Rio Tinto;https://www.business-humanrights.org/en/latest-news/rio-tinto-response-2/;https://www.business-humanrights.org/en/companies/rio-tinto/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;IN;;Clothing & textile;04.02.2016;H&M response;India: Global brands not doing enough to ensure a dignified life for workers in the garment and electronics industry, reports a study;Labour Rights|Living Wage|Personal Health;Yes;H&M;https://www.business-humanrights.org/en/latest-news/hm-response-5/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;BD;;Clothing & textile;04.02.2016;H&M's response;Bangladesh: Another major factory fire shows “industry safeguards” are failing;Personal Health;Yes;H&M;https://www.business-humanrights.org/en/latest-news/hms-response/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;BD|IN|LK;;Clothing & textile;15.02.2016;H&M Response;Report alleges M&S & H&M of paying Asian workers less than living wage, brands respond;Labour Rights|Living Wage|Personal Health|Supply Chains;Yes;H&M;https://www.business-humanrights.org/en/latest-news/hm-response-6/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
ExxonMobil;Oil, gas & coal;US;NG|PG|PH|US;;Oil, gas & coal;04.04.2016;ExxonMobil response;Facing Finance report investigates abuses by 20 companies & ties to financial institutions;Climate Crisis|Lawsuits & regulatory action;Yes;ExxonMobil;https://www.business-humanrights.org/en/latest-news/exxonmobil-response-3/;https://www.business-humanrights.org/en/companies/exxonmobil/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;CD;;Mining;22.03.2016;Glencore response;DRC: Glencore copper-cobalt mine allegedly linked to pollution, child labour and tax evasion, including past company responses;Company Grievance Mechanisms|Security Issues & Conflict Zones;Yes;Glencore;https://www.business-humanrights.org/en/latest-news/glencore-response-2/;https://www.business-humanrights.org/en/companies/glencore/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;IR|MA;;Oil, gas & coal;05.04.2016;Total response;Facing Finance report investigates abuses by 20 companies & ties to financial institutions;Climate Crisis|Corruption|Security Issues & Conflict Zones;Yes;Total;https://www.business-humanrights.org/en/latest-news/total-response-2/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
Inditex|Zara (part of Inditex);Clothing & textile|Footwear|Retail;ES;AR|BR;;Clothing & textile;05.04.2016;Inditex response;Facing Finance report investigates abuses by 20 companies & ties to financial institutions;Forced Labour & Modern Slavery|Labour Rights|Migrants & Immigrants|Supply Chains;Yes;Inditex;https://www.business-humanrights.org/en/latest-news/inditex-response-5/;https://www.business-humanrights.org/en/companies/inditex/|https://www.business-humanrights.org/en/companies/zara-part-of-inditex/;;
Nestlé;Food & beverage;CH;CI|IN|MY|TH;;Chocolate & cocoa|Food & beverage|Palm trees & oil;05.04.2016;Nestlé response;Facing Finance report investigates abuses by 20 companies & ties to financial institutions;Access to Water|Forced Labour & Modern Slavery|Supply Chains;Yes;Nestlé;https://www.business-humanrights.org/en/latest-news/nestlé-response-4/;https://www.business-humanrights.org/en/companies/nestlé/;;
Coca-Cola;Food & beverage;US;BR|IN|SZ;;Food & beverage|Sugar;05.04.2016;Coca Cola response;Facing Finance report investigates abuses by 20 companies & ties to financial institutions;Access to Water|Climate Crisis|Land Rights;Yes;Coca-Cola;https://www.business-humanrights.org/en/latest-news/coca-cola-response-4/;https://www.business-humanrights.org/en/companies/coca-cola/;;
Coca-Cola;Food & beverage;US;;Global;Agriculture & livestock|Food & beverage;22.04.2016;Coca-Cola response;Oxfam's Behind the Brands scorecard finds top 10 food companies improve social & environmental standards, need to ensure implementation by suppliers;Access to Water|Climate Crisis|Land Rights|Supply Chains;Yes;Ben Jordan, Coca-Cola;https://www.business-humanrights.org/en/latest-news/coca-cola-response-5/;https://www.business-humanrights.org/en/companies/coca-cola/;;
Coca-Cola;Food & beverage;US;IN;;Food & beverage;24.04.2016;Coca-Cola statement re compensation;Coca-Cola lawsuit (re India);Access to Water|Clean, Healthy & Sustainable Environment|Lawsuits & regulatory action;Yes;Coca-Cola;https://www.business-humanrights.org/en/latest-news/coca-cola-statement-re-compensation/;https://www.business-humanrights.org/en/companies/coca-cola/;;
PepsiCo;Food & beverage;US;;Global;Food & beverage;25.04.2016;PepsiCo response;Oxfam's Behind the Brands scorecard finds top 10 food companies improve social & environmental standards, need to ensure implementation by suppliers;Access to Water|Clean, Healthy & Sustainable Environment|Climate Crisis|Women;Yes;PepsiCo;https://www.business-humanrights.org/en/latest-news/pepsico-response-5/;https://www.business-humanrights.org/en/companies/pepsico/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;CN|ID|KH|VN;Asia & Pacific;;07.06.2016;Réponse d'adidas;Une ONG souligne l’impact du modèle économique d’adidas, Nike et Puma sur les travailleurs de leurs chaînes d’approvisionnement , avec les réponses des entreprises;Labour Rights|Living Wage|Supply Chains;Yes;adidas;https://www.business-humanrights.org/en/latest-news/réponse-dadidas/;https://www.business-humanrights.org/en/companies/adidas/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;CN|ID|KH|VN;Asia & Pacific;;07.06.2016;adidas response;NGO highlights impact of economic model of adidas, Nike & Puma on workers in their supply chains, companies respond;Labour Rights|Living Wage|Supply Chains;Yes;adidas;https://www.business-humanrights.org/en/latest-news/adidas-response-3/;https://www.business-humanrights.org/en/companies/adidas/;;
Nike;Clothing & textile|Footwear|Sporting goods;US;;Global;;13.06.2016;Nike response;NGO highlights impact of economic model of adidas, Nike & Puma on workers in their supply chains, companies respond;Labour Rights|Supply Chains;Yes;Nike;https://www.business-humanrights.org/en/latest-news/nike-response-2/;https://www.business-humanrights.org/en/companies/nike/;;
Nike;Clothing & textile|Footwear|Sporting goods;US;;Global;;14.06.2016;Réponse de Nike;Une ONG souligne l’impact du modèle économique d’adidas, Nike et Puma sur les travailleurs de leurs chaînes d’approvisionnement , avec les réponses des entreprises;Labour Rights|Supply Chains;Yes;Nike;https://www.business-humanrights.org/en/latest-news/réponse-de-nike/;https://www.business-humanrights.org/en/companies/nike/;;
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;BR;;Hydropower & dam projects;29.06.2016;Brazil: Vale response to CIDSE article;Brazil: Civil society groups appeal to UN criticizing agreement over dam burst for lack of participation & adequate remedying, Samarco, Vale and BHP Biliton respond;Clean, Healthy & Sustainable Environment;Yes;Vale (Brazil);https://www.business-humanrights.org/en/latest-news/brazil-vale-response-to-cidse-article/;https://www.business-humanrights.org/en/companies/vale/;;
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;BR;;Hydropower & dam projects;29.06.2016;Brasil: Resposta da Vale a artigo da CIDSE;Brasil: Grupos da sociedade civil enviam apelo a ONU criticando acordo sobre rompimento da barragem da Mariana por falta de participação e reparação adequadas, Samarco, Vale e BHP Biliton responderam;Clean, Healthy & Sustainable Environment;Yes;Vale (Brazil);https://www.business-humanrights.org/en/latest-news/brasil-resposta-da-vale-a-artigo-da-cidse/;https://www.business-humanrights.org/en/companies/vale/;;
